source_noise_pct,method_id,n,mean_final_c4_loss,std_final_c4_loss,mean_delta_vs_baseline,std_delta_vs_baseline
0,rnn,3,3.6011672814687095,0.0011738187194292682,0.02576454480489095,0.0015125098837259117
0,shuffdyck,3,3.6175787448883057,0.0026771438562374836,0.009353081385294596,0.004081850394895109
0,baseline,3,3.6269318262736,0.0014338316600236176,0.0,0.0
10,rnn,3,3.6331419150034585,0.008810158531356718,0.022214651107788086,0.014813450380375943
10,shuffdyck,3,3.6452476183573403,0.001098860247250799,0.01010894775390625,0.0056031566538610545
10,baseline,3,3.6553565661112466,0.006226361632183149,0.0,0.0
30,rnn,3,3.6881229877471924,0.003055551999671551,0.02745819091796875,0.005306360056781157
30,shuffdyck,3,3.7068965435028076,0.002377052280747636,0.008684635162353516,0.006003617061566246
30,baseline,3,3.715581178665161,0.006682013631823131,0.0,0.0
50,rnn,3,3.7736124992370605,0.001496671391216572,0.03746644655863444,0.014522635670206317
50,shuffdyck,3,3.7960525353749595,0.004105563254673147,0.015026410420735678,0.010427370899527501
50,baseline,3,3.811078945795695,0.014172247234639645,0.0,0.0
